class_size,instance,rep,solver,resolution_time,result_type,formed_teams,team_scores,score,score_type,name,group_size
30,29,5,SCIP,207.40797400474548,optimal,"[{264, 329, 269, 374, 90}, {327, 338, 122, 94, 223}, {263, 103, 140, 271, 310}, {160, 324, 135, 361, 187}, {202, 142, 373, 182, 309}, {288, 201, 333, 312, 156}]","[1.0, 1.0, 0.75, 1.0, 1.0, 1.0]",5.75,belbin,belbin-Student_num-30-instance-29-rep5-SCIP-groupsize-5,5
30,30,1,SCIP,0.7260828018188477,optimal,"[{184, 74, 286}, {104, 337, 231}, {241, 114, 346}, {347, 292, 133}, {137, 377, 215}, {258, 196, 140}, {308, 205, 254}, {283, 285, 255}, {275, 267, 327}, {274, 372, 293}]","[0.625, 0.75, 0.625, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625, 0.625]",7.375,belbin,belbin-Student_num-30-instance-30-rep1-SCIP-groupsize-3,3
30,30,1,SCIP,137.1183443069458,optimal,"[{231, 74, 275, 215, 283}, {104, 137, 140, 274, 372}, {133, 267, 241, 114, 308}, {205, 184, 347, 285, 255}, {258, 196, 293, 377, 346}, {292, 327, 337, 254, 286}]","[0.625, 0.75, 0.75, 0.875, 1.0, 0.875]",4.875,belbin,belbin-Student_num-30-instance-30-rep1-SCIP-groupsize-5,5
30,30,2,SCIP,0.7371366024017334,optimal,"[{184, 74, 286}, {104, 337, 231}, {241, 114, 346}, {347, 292, 133}, {137, 377, 215}, {258, 196, 140}, {308, 205, 254}, {283, 285, 255}, {275, 267, 327}, {274, 372, 293}]","[0.625, 0.75, 0.625, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625, 0.625]",7.375,belbin,belbin-Student_num-30-instance-30-rep2-SCIP-groupsize-3,3
30,30,2,SCIP,139.03423953056335,optimal,"[{231, 74, 275, 215, 283}, {104, 137, 140, 274, 372}, {133, 267, 241, 114, 308}, {205, 184, 347, 285, 255}, {258, 196, 293, 377, 346}, {292, 327, 337, 254, 286}]","[0.625, 0.75, 0.75, 0.875, 1.0, 0.875]",4.875,belbin,belbin-Student_num-30-instance-30-rep2-SCIP-groupsize-5,5
30,30,3,SCIP,0.724750280380249,optimal,"[{184, 74, 286}, {104, 337, 231}, {241, 114, 346}, {347, 292, 133}, {137, 377, 215}, {258, 196, 140}, {308, 205, 254}, {283, 285, 255}, {275, 267, 327}, {274, 372, 293}]","[0.625, 0.75, 0.625, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625, 0.625]",7.375,belbin,belbin-Student_num-30-instance-30-rep3-SCIP-groupsize-3,3
30,30,3,SCIP,140.15190935134888,optimal,"[{231, 74, 275, 215, 283}, {104, 137, 140, 274, 372}, {133, 267, 241, 114, 308}, {205, 184, 347, 285, 255}, {258, 196, 293, 377, 346}, {292, 327, 337, 254, 286}]","[0.625, 0.75, 0.75, 0.875, 1.0, 0.875]",4.875,belbin,belbin-Student_num-30-instance-30-rep3-SCIP-groupsize-5,5
30,30,4,SCIP,0.7199397087097168,optimal,"[{184, 74, 286}, {104, 337, 231}, {241, 114, 346}, {347, 292, 133}, {137, 377, 215}, {258, 196, 140}, {308, 205, 254}, {283, 285, 255}, {275, 267, 327}, {274, 372, 293}]","[0.625, 0.75, 0.625, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625, 0.625]",7.375,belbin,belbin-Student_num-30-instance-30-rep4-SCIP-groupsize-3,3
30,30,4,SCIP,138.85361862182617,optimal,"[{231, 74, 275, 215, 283}, {104, 137, 140, 274, 372}, {133, 267, 241, 114, 308}, {205, 184, 347, 285, 255}, {258, 196, 293, 377, 346}, {292, 327, 337, 254, 286}]","[0.625, 0.75, 0.75, 0.875, 1.0, 0.875]",4.875,belbin,belbin-Student_num-30-instance-30-rep4-SCIP-groupsize-5,5
30,30,5,SCIP,0.7167408466339111,optimal,"[{184, 74, 286}, {104, 337, 231}, {241, 114, 346}, {347, 292, 133}, {137, 377, 215}, {258, 196, 140}, {308, 205, 254}, {283, 285, 255}, {275, 267, 327}, {274, 372, 293}]","[0.625, 0.75, 0.625, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625, 0.625]",7.375,belbin,belbin-Student_num-30-instance-30-rep5-SCIP-groupsize-3,3
30,30,5,SCIP,137.2060787677765,optimal,"[{231, 74, 275, 215, 283}, {104, 137, 140, 274, 372}, {133, 267, 241, 114, 308}, {205, 184, 347, 285, 255}, {258, 196, 293, 377, 346}, {292, 327, 337, 254, 286}]","[0.625, 0.75, 0.75, 0.875, 1.0, 0.875]",4.875,belbin,belbin-Student_num-30-instance-30-rep5-SCIP-groupsize-5,5
30,1,1,CBC,0.0995044708251953,optimal,"[{312, 339, 77}, {82, 195, 372}, {216, 93, 119}, {203, 332, 135}, {163, 276, 349}, {176, 251, 212}, {260, 253, 239}, {241, 341, 382}, {354, 252, 284}, {258, 340, 301}]","[0.75, 0.625, 0.75, 0.75, 0.875, 0.625, 0.75, 0.5, 0.75, 0.875]",7.25,belbin,belbin-Student_num-30-instance-1-rep1-CBC-groupsize-3,3
30,1,1,CBC,4.881957530975342,optimal,"[{258, 77, 176, 340, 251}, {312, 241, 82, 339, 216}, {135, 203, 239, 93, 349}, {163, 260, 332, 276, 119}, {195, 301, 372, 341, 212}, {354, 252, 284, 253, 382}]","[1.0, 1.0, 1.0, 1.0, 0.75, 0.875]",5.625,belbin,belbin-Student_num-30-instance-1-rep1-CBC-groupsize-5,5
30,1,2,CBC,0.0996553897857666,optimal,"[{312, 339, 77}, {82, 195, 372}, {216, 93, 119}, {203, 332, 135}, {163, 276, 349}, {176, 251, 212}, {260, 253, 239}, {241, 341, 382}, {354, 252, 284}, {258, 340, 301}]","[0.75, 0.625, 0.75, 0.75, 0.875, 0.625, 0.75, 0.5, 0.75, 0.875]",7.25,belbin,belbin-Student_num-30-instance-1-rep2-CBC-groupsize-3,3
30,1,2,CBC,4.799599885940552,optimal,"[{258, 77, 176, 340, 251}, {312, 241, 82, 339, 216}, {135, 203, 239, 93, 349}, {163, 260, 332, 276, 119}, {195, 301, 372, 341, 212}, {354, 252, 284, 253, 382}]","[1.0, 1.0, 1.0, 1.0, 0.75, 0.875]",5.625,belbin,belbin-Student_num-30-instance-1-rep2-CBC-groupsize-5,5
30,1,3,CBC,0.1000545024871826,optimal,"[{312, 339, 77}, {82, 195, 372}, {216, 93, 119}, {203, 332, 135}, {163, 276, 349}, {176, 251, 212}, {260, 253, 239}, {241, 341, 382}, {354, 252, 284}, {258, 340, 301}]","[0.75, 0.625, 0.75, 0.75, 0.875, 0.625, 0.75, 0.5, 0.75, 0.875]",7.25,belbin,belbin-Student_num-30-instance-1-rep3-CBC-groupsize-3,3
30,1,3,CBC,4.981281042098999,optimal,"[{258, 77, 176, 340, 251}, {312, 241, 82, 339, 216}, {135, 203, 239, 93, 349}, {163, 260, 332, 276, 119}, {195, 301, 372, 341, 212}, {354, 252, 284, 253, 382}]","[1.0, 1.0, 1.0, 1.0, 0.75, 0.875]",5.625,belbin,belbin-Student_num-30-instance-1-rep3-CBC-groupsize-5,5
30,1,4,CBC,0.0994236469268798,optimal,"[{312, 339, 77}, {82, 195, 372}, {216, 93, 119}, {203, 332, 135}, {163, 276, 349}, {176, 251, 212}, {260, 253, 239}, {241, 341, 382}, {354, 252, 284}, {258, 340, 301}]","[0.75, 0.625, 0.75, 0.75, 0.875, 0.625, 0.75, 0.5, 0.75, 0.875]",7.25,belbin,belbin-Student_num-30-instance-1-rep4-CBC-groupsize-3,3
30,1,4,CBC,4.89085578918457,optimal,"[{258, 77, 176, 340, 251}, {312, 241, 82, 339, 216}, {135, 203, 239, 93, 349}, {163, 260, 332, 276, 119}, {195, 301, 372, 341, 212}, {354, 252, 284, 253, 382}]","[1.0, 1.0, 1.0, 1.0, 0.75, 0.875]",5.625,belbin,belbin-Student_num-30-instance-1-rep4-CBC-groupsize-5,5
30,1,5,CBC,0.0996417999267578,optimal,"[{312, 339, 77}, {82, 195, 372}, {216, 93, 119}, {203, 332, 135}, {163, 276, 349}, {176, 251, 212}, {260, 253, 239}, {241, 341, 382}, {354, 252, 284}, {258, 340, 301}]","[0.75, 0.625, 0.75, 0.75, 0.875, 0.625, 0.75, 0.5, 0.75, 0.875]",7.25,belbin,belbin-Student_num-30-instance-1-rep5-CBC-groupsize-3,3
30,1,5,CBC,16.10043215751648,optimal,"[{258, 195, 301, 77, 251}, {312, 241, 82, 339, 216}, {135, 203, 239, 93, 349}, {163, 260, 332, 276, 119}, {176, 372, 341, 284, 253}, {354, 212, 340, 252, 382}]","[1.0, 1.0, 1.0, 1.0, 0.75, 0.875]",5.625,belbin,belbin-Student_num-30-instance-1-rep5-CBC-groupsize-5,5
30,2,1,CBC,0.0902199745178222,optimal,"[{250, 75, 279}, {88, 203, 332}, {354, 179, 102}, {240, 371, 111}, {329, 382, 151}, {265, 299, 182}, {298, 293, 271}, {313, 283, 276}, {363, 291, 319}, {358, 357, 342}]","[0.625, 0.625, 0.875, 1.0, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625]",7.875,belbin,belbin-Student_num-30-instance-2-rep1-CBC-groupsize-3,3
30,2,1,CBC,3.9804110527038574,optimal,"[{357, 329, 265, 75, 342}, {291, 299, 279, 88, 319}, {354, 102, 363, 203, 271}, {111, 313, 250, 283, 382}, {298, 332, 179, 276, 151}, {293, 358, 240, 371, 182}]","[1.0, 0.875, 0.875, 1.0, 1.0, 1.0]",5.75,belbin,belbin-Student_num-30-instance-2-rep1-CBC-groupsize-5,5
30,2,2,CBC,0.0877766609191894,optimal,"[{250, 75, 279}, {88, 203, 332}, {354, 179, 102}, {240, 371, 111}, {329, 382, 151}, {265, 299, 182}, {298, 293, 271}, {313, 283, 276}, {363, 291, 319}, {358, 357, 342}]","[0.625, 0.625, 0.875, 1.0, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625]",7.875,belbin,belbin-Student_num-30-instance-2-rep2-CBC-groupsize-3,3
30,2,2,CBC,3.9576101303100586,optimal,"[{357, 329, 265, 75, 342}, {291, 299, 279, 88, 319}, {354, 102, 363, 203, 271}, {111, 313, 250, 283, 382}, {298, 332, 179, 276, 151}, {293, 358, 240, 371, 182}]","[1.0, 0.875, 0.875, 1.0, 1.0, 1.0]",5.75,belbin,belbin-Student_num-30-instance-2-rep2-CBC-groupsize-5,5
30,2,3,CBC,0.0889909267425537,optimal,"[{250, 75, 279}, {88, 203, 332}, {354, 179, 102}, {240, 371, 111}, {329, 382, 151}, {265, 299, 182}, {298, 293, 271}, {313, 283, 276}, {363, 291, 319}, {358, 357, 342}]","[0.625, 0.625, 0.875, 1.0, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625]",7.875,belbin,belbin-Student_num-30-instance-2-rep3-CBC-groupsize-3,3
30,2,3,CBC,3.960833549499512,optimal,"[{357, 329, 265, 75, 342}, {291, 299, 279, 88, 319}, {354, 102, 363, 203, 271}, {111, 313, 250, 283, 382}, {298, 332, 179, 276, 151}, {293, 358, 240, 371, 182}]","[1.0, 0.875, 0.875, 1.0, 1.0, 1.0]",5.75,belbin,belbin-Student_num-30-instance-2-rep3-CBC-groupsize-5,5
30,2,4,CBC,0.0861060619354248,optimal,"[{250, 75, 279}, {88, 203, 332}, {354, 179, 102}, {240, 371, 111}, {329, 382, 151}, {265, 299, 182}, {298, 293, 271}, {313, 283, 276}, {363, 291, 319}, {358, 357, 342}]","[0.625, 0.625, 0.875, 1.0, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625]",7.875,belbin,belbin-Student_num-30-instance-2-rep4-CBC-groupsize-3,3
30,2,4,CBC,3.9959158897399902,optimal,"[{357, 329, 265, 75, 342}, {291, 299, 279, 88, 319}, {354, 102, 363, 203, 271}, {111, 313, 250, 283, 382}, {298, 332, 179, 276, 151}, {293, 358, 240, 371, 182}]","[1.0, 0.875, 0.875, 1.0, 1.0, 1.0]",5.75,belbin,belbin-Student_num-30-instance-2-rep4-CBC-groupsize-5,5
30,2,5,CBC,0.0977888107299804,optimal,"[{250, 75, 279}, {88, 203, 332}, {354, 179, 102}, {240, 371, 111}, {329, 382, 151}, {265, 299, 182}, {298, 293, 271}, {313, 283, 276}, {363, 291, 319}, {358, 357, 342}]","[0.625, 0.625, 0.875, 1.0, 0.875, 0.875, 0.875, 0.625, 0.875, 0.625]",7.875,belbin,belbin-Student_num-30-instance-2-rep5-CBC-groupsize-3,3
30,2,5,CBC,3.946621179580689,optimal,"[{357, 329, 265, 75, 342}, {291, 299, 279, 88, 319}, {354, 102, 363, 203, 271}, {111, 313, 250, 283, 382}, {298, 332, 179, 276, 151}, {293, 358, 240, 371, 182}]","[1.0, 0.875, 0.875, 1.0, 1.0, 1.0]",5.75,belbin,belbin-Student_num-30-instance-2-rep5-CBC-groupsize-5,5
30,3,1,CBC,0.0714478492736816,optimal,"[{89, 319, 175}, {287, 94, 239}, {176, 106, 102}, {120, 357, 189}, {121, 273, 127}, {314, 315, 126}, {160, 253, 215}, {177, 347, 383}, {256, 320, 359}, {272, 308, 333}]","[1.0, 0.75, 0.875, 0.75, 0.75, 0.75, 0.75, 0.875, 0.75, 0.5]",7.75,belbin,belbin-Student_num-30-instance-3-rep1-CBC-groupsize-3,3
30,3,1,CBC,4.422780513763428,optimal,"[{160, 121, 320, 89, 315}, {357, 333, 177, 94, 127}, {256, 102, 176, 189, 287}, {106, 239, 175, 253, 319}, {273, 308, 120, 347, 383}, {359, 272, 215, 314, 126}]","[1.0, 0.875, 1.0, 1.0, 0.875, 0.875]",5.625,belbin,belbin-Student_num-30-instance-3-rep1-CBC-groupsize-5,5
30,3,2,CBC,0.0792689323425293,optimal,"[{89, 319, 175}, {287, 94, 239}, {176, 106, 102}, {120, 357, 189}, {121, 273, 127}, {314, 315, 126}, {160, 253, 215}, {177, 347, 383}, {256, 320, 359}, {272, 308, 333}]","[1.0, 0.75, 0.875, 0.75, 0.75, 0.75, 0.75, 0.875, 0.75, 0.5]",7.75,belbin,belbin-Student_num-30-instance-3-rep2-CBC-groupsize-3,3
