student_id;gender;CW;CH;SH;PL;RI;ME;TW;CF;E/I;S/N;T/F;J/P;group_1;group_2;has_belbin;has_mbti
252;M;19;4;12;8;3;7;9;8;-2;-2;-12;3;11;5;1;1
253;F;10;8;15;10;8;6;9;6;-4;6;2;8;16;11;1;1
254;F;4;12;11;16;3;1;12;12;0;-4;-6;-8;5;;1;1
255;F;0;5;20;18;12;0;15;0;6;-6;-7;-6;2;;1;1
256;F;9;11;15;6;2;6;11;10;0;8;2;14;15;;1;1
257;F;14;7;7;5;2;5;20;10;0;14;4;18;15;10;1;1
258;F;9;12;11;1;11;3;13;10;8;4;0;10;6;13;1;1
259;M;6;6;13;13;7;4;12;9;0;-2;8;10;6;11;1;1
260;M;11;7;9;6;10;8;13;6;4;0;2;0;1;;1;1
261;F;6;9;18;10;5;4;11;7;0;-6;-6;10;3;1;1;1
262;M;;;;;;;;;;;;;4;;0;0
263;F;11;11;10;7;5;6;13;7;2;-8;-2;4;5;12;1;1
264;M;8;9;10;5;8;5;16;9;2;2;-4;-6;7;12;1;1
265;F;8;10;16;11;4;4;14;2;8;-8;0;-6;9;8;1;1
266;M;11;14;11;8;4;9;6;7;-2;8;16;14;12;;1;1
267;M;6;12;12;10;7;7;13;3;8;0;0;-2;13;2;1;1
268;F;6;5;11;14;9;8;10;7;6;-12;-12;-2;1;;1;1
269;F;7;9;23;3;6;7;4;11;6;6;20;12;13;5;1;1
270;M;8;11;8;14;9;11;7;3;0;4;-8;-2;3;5;1;1
271;M;11;8;11;6;9;9;4;12;4;6;14;16;4;9;1;1
272;M;10;7;11;8;6;7;19;1;8;4;10;4;2;13;1;1
273;F;12;9;20;4;8;4;5;8;4;-8;-6;-2;15;;1;1
274;M;11;8;9;9;9;7;11;5;8;10;-8;6;14;6;1;1
275;F;9;9;21;7;7;4;7;4;6;-2;-6;4;7;7;1;1
276;F;8;8;14;8;9;7;6;10;2;-4;4;12;3;;1;1
277;M;6;14;4;9;10;9;18;0;6;-16;8;-14;10;;1;1
278;F;13;10;15;6;8;5;10;3;8;-2;-6;4;4;2;1;1
279;F;9;4;16;7;6;8;7;13;4;10;11;16;15;;1;1
280;F;3;11;9;11;14;7;10;5;6;-14;4;-10;16;;1;1
281;M;9;10;13;9;6;5;10;8;6;-12;2;-2;2;;1;1
282;M;6;14;12;2;8;7;18;4;8;4;10;12;6;;1;1
283;F;10;12;13;4;6;6;10;9;6;4;2;10;13;7;1;1
284;M;6;10;11;12;7;8;10;6;0;-2;0;6;1;;1;1
285;M;12;6;8;6;6;8;18;6;-8;8;4;14;5;3;1;1
286;F;11;8;22;7;3;3;1;15;0;6;-4;12;5;;1;1
287;M;5;11;9;13;8;6;13;5;8;-8;8;0;11;9;1;1
288;F;8;11;11;8;8;5;5;13;6;-8;0;14;1;5;1;1
289;F;9;5;7;8;10;7;21;3;4;4;-5;4;15;1;1;1
290;F;6;9;14;8;7;8;11;6;8;0;10;14;14;;1;1
291;F;9;8;11;10;7;7;11;7;8;-4;-8;2;5;;1;1
292;F;12;11;7;7;9;5;13;6;-2;4;-6;10;4;13;1;1
293;F;7;16;16;7;5;1;6;12;6;-2;-4;12;16;;1;1
294;F;5;10;12;13;6;6;12;6;6;-10;-4;-4;7;;1;1
295;F;8;8;15;10;8;4;10;7;8;0;-2;0;2;3;1;1
296;M;;;;;;;;;;;;;15;11;0;0
297;M;7;8;1;11;11;11;14;7;2;-2;0;-4;11;13;1;1
298;F;3;8;4;19;10;10;17;0;6;-10;-4;4;9;12;1;1
299;F;10;10;9;7;9;9;9;7;4;4;-12;4;2;;1;1
300;F;16;3;16;2;4;9;9;10;2;6;-2;12;8;11;1;1
301;F;18;0;28;0;0;3;0;20;4;-10;-8;0;13;;1;1
302;F;11;6;12;9;6;6;15;5;6;-4;-8;4;12;;1;1
303;M;12;4;14;5;9;9;11;6;6;8;-2;6;11;;1;1
304;M;5;10;15;5;0;35;0;0;6;4;15;2;6;;1;1
305;F;12;9;13;5;5;6;11;9;8;10;0;10;14;7;1;1
306;M;14;7;8;6;12;13;10;0;4;-12;4;-8;9;;1;1
307;M;12;16;6;7;2;8;9;10;6;-6;-2;-4;10;;1;1
308;F;10;11;12;5;5;6;11;10;2;-4;-6;-10;3;;1;1
309;M;7;8;14;6;8;11;9;7;10;-10;-6;0;12;;1;1
310;F;13;9;8;4;7;3;15;11;-2;-6;2;8;16;;1;1
311;F;8;6;14;8;10;7;10;7;6;-12;-10;4;16;3;1;1
312;F;12;18;12;2;0;5;6;14;-2;10;0;14;10;8;1;1
313;M;6;7;11;14;0;7;24;0;6;2;10;12;8;6;1;1
314;F;10;9;13;8;4;8;11;7;-6;0;-8;6;8;2;1;1
315;M;11;21;5;7;7;7;10;3;6;-12;0;6;14;1;1;1
316;F;11;11;8;23;4;3;2;7;6;-14;4;-4;13;12;1;1
317;F;20;15;0;8;2;1;15;8;0;-6;-8;-4;17;6;1;1
318;F;15;7;11;6;7;8;14;2;2;0;-2;9;18;;1;1
319;M;13;13;5;5;14;2;16;4;8;2;-4;8;14;;1;1
320;M;10;10;13;1;11;2;16;7;6;4;-2;8;19;11;1;1
321;F;;;;;;;;;6;0;-6;0;1;7;0;1
322;F;10;12;11;9;5;5;8;10;0;0;0;0;10;;1;0
323;M;15;11;6;7;4;5;15;6;-6;3;3;12;10;;1;1
324;F;5;7;2;14;7;10;14;11;6;8;-2;6;14;10;1;1
325;M;13;10;7;9;8;5;13;5;8;-4;4;-10;7;;1;1
326;M;8;15;14;5;6;6;5;11;0;10;-2;-10;8;;1;1
327;F;7;7;13;6;8;7;9;12;8;4;10;0;6;7;1;1
328;F;3;8;10;8;12;7;9;11;8;6;-8;6;11;;1;1
329;F;20;4;7;9;6;10;6;7;4;12;12;18;9;;1;1
330;F;;;;;;;;;-6;-2;0;4;11;5;0;1
331;M;7;3;12;2;10;5;22;9;0;0;0;0;11;;1;0
332;M;4;9;23;5;3;3;10;13;-2;-2;6;6;2;4;1;1
333;F;2;21;34;0;2;0;5;6;4;-8;-18;-4;13;3;1;1
334;M;8;10;17;8;8;8;5;6;6;4;12;10;19;;1;1
335;F;9;11;18;5;4;6;8;9;6;-4;4;-8;18;;1;1
336;F;9;6;14;5;8;5;7;16;4;-8;-4;14;10;;1;1
337;F;6;5;1;14;11;7;15;11;-4;-12;-12;-2;2;9;1;1
338;F;11;8;8;10;7;6;15;6;-8;-18;-14;-12;4;11;1;1
339;F;7;8;9;11;10;7;9;9;4;-2;-12;4;15;8;1;1
340;F;11;9;12;9;5;7;8;9;4;-4;-2;0;5;;1;1
341;M;5;9;16;15;5;3;9;8;0;-6;6;4;14;3;1;1
342;M;8;6;22;7;6;8;7;3;6;-8;-1;-10;16;;1;1
343;M;15;9;5;7;5;8;14;7;0;2;4;12;17;12;1;1
344;F;9;11;9;9;11;9;7;6;0;4;-4;10;16;6;1;1
345;M;10;4;9;8;8;7;18;6;6;-6;-4;0;7;;1;1
346;M;10;10;14;5;7;4;14;6;6;6;8;4;4;10;1;1
347;F;9;6;12;6;7;8;15;7;2;2;6;2;15;4;1;1
